RECID	HHOLDID	NOJOUR	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10	I11	I12	I13	I14	I15	I16	I17	I18	I19	I20	I21	I22	I23	I24	I25	I27	I28	I30	I31	I32	I33	I34	I35
3	4282	5	1	1	1	1	2	5	18	3	31	14	2	2	1	1	1	10	2	9	13	7	1	3	8	3	4	3	7	8	4	4	4	5	5
3	4282	17	2	1	1	3	2	1	5	5	28	12	2	1	1	1	1	10	2	9	13	7	1	3	8	3	2	2	7	8	8	10	8	9	3
3	4283	12	1	1	1	1	1	1	17	6	27	7	1	2	2	2	2	8	4	9	13	1	1	1	6	1	7	8	7	8	6	7	6	1	5
3	4283	2	2	1	1	2	1	4	18	1	27	12	2	1	1	1	1	10	2	9	13	7	1	1	6	1	3	2	7	8	2	2	2	1	1
3	4283	0	3	1	3	4	2	7	19	14	10	3	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	1	1	1	1	1
3	4283	0	4	1	3	4	2	7	19	14	7	3	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	1	1	1	1	1
3	4283	0	5	4	3	4	2	7	19	14	1	1	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	4284	28	1	1	1	1	2	3	5	13	30	8	1	1	2	1	1	8	4	9	13	2	1	3	10	3	7	8	7	8	10	12	7	1	5
3	4285	0	1	3	1	1	2	3	8	2	32	9	1	1	1	1	1	10	2	9	13	7	1	2	6	2	7	8	7	8	15	14	14	14	15
3	4286	16	1	1	1	1	1	1	9	13	24	6	1	2	2	1	1	8	4	9	13	2	1	1	3	1	7	8	1	8	7	9	11	1	12
3	4286	16	2	1	1	2	1	1	6	5	24	11	2	1	2	1	1	6	4	9	13	2	1	2	2	2	1	8	7	8	7	9	11	2	12
3	4287	0	1	1	1	1	2	3	1	1	32	14	2	1	1	1	1	10	2	9	13	7	1	3	8	3	1	8	1	8	1	1	1	1	1
3	4288	13	1	1	1	1	1	1	4	10	25	6	1	2	3	1	1	1	4	9	13	4	1	2	2	2	2	3	3	5	7	8	7	1	3
3	4288	25	2	1	1	2	1	1	6	4	22	11	2	1	2	1	1	5	4	9	13	2	1	2	2	2	2	4	3	4	9	11	9	6	3
3	4289	2	1	1	1	1	1	1	10	8	27	7	1	2	2	2	1	4	4	9	13	1	1	3	6	3	1	8	1	8	1	1	1	1	1
3	4289	4	2	1	1	2	1	1	6	1	26	11	2	1	1	1	1	10	2	9	13	7	1	3	6	3	1	8	7	8	2	2	2	1	1
3	4289	6	3	1	3	4	2	7	19	14	4	2	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	2	2	2	1	1
3	4289	4	4	1	3	4	2	7	19	14	8	3	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	2	2	2	1	1
3	4289	4	5	1	3	4	2	7	19	14	7	3	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	2	2	2	1	1
3	4290	0	1	1	1	1	2	4	18	3	32	14	2	1	1	1	1	10	2	9	13	7	1	8	8	5	7	8	1	8	1	1	1	1	1
3	4291	8	1	1	1	1	1	3	10	1	31	9	1	2	1	1	1	10	2	9	13	7	1	3	5	3	2	4	1	8	4	4	4	3	1
3	4291	6	2	1	1	2	1	2	7	2	29	12	2	1	1	1	1	10	2	9	13	7	1	3	5	3	7	8	2	1	2	2	2	2	1
3	4291	14	3	1	1	3	2	1	10	3	29	12	2	2	1	1	1	10	2	9	13	7	1	3	5	3	1	8	7	8	7	8	5	6	2
3	4292	0	1	3	1	1	1	1	7	5	27	7	1	2	2	1	1	8	4	9	13	2	1	1	4	1	7	8	7	8	15	14	14	14	15
3	4292	0	2	3	1	2	1	4	18	1	26	11	2	1	1	1	1	10	2	9	13	7	1	1	4	1	7	8	7	8	15	14	14	14	15
3	4292	0	3	4	3	4	2	7	19	14	1	1	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	4292	0	4	3	3	4	2	7	19	14	6	3	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	4293	15	1	1	1	1	1	1	9	5	30	8	1	2	1	1	1	10	2	9	13	7	1	2	5	2	2	2	6	1	7	9	4	14	5
3	4293	9	2	1	1	2	1	5	6	1	30	13	2	1	1	1	1	10	2	9	13	7	1	2	5	2	7	8	7	8	4	4	2	1	1
3	4294	6	1	1	1	1	2	3	7	1	31	14	2	1	1	1	1	10	2	9	13	7	1	2	13	2	2	3	6	2	4	4	2	1	1
