RECID	HHOLDID	NOVEH	NOIND	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H17	H18	H19	H20	H21	H22	H23	H24	H25	H26	H27	H28	H29	H30	H31	H32	H33	H34	H35	H36
1	5124	1	5	2	10	11	6	8	3	1	3	3	3	2	1	1	2	2	8	4	3	2	11	3	1	6	5	4	5	2	3	1	3	15	14	14	14	15
1	5125	1	3	4	2	11	6	8	3	2	1	2	1	1	2	1	2	1	8	4	9	6	7	5	6	18	13	6	13	8	1	2	3	15	14	14	14	15
1	5126	1	3	3	5	10	9	5	4	2	1	2	2	2	1	1	2	1	8	4	9	6	7	7	5	9	3	5	13	8	1	2	4	15	14	14	14	15
1	5127	1	5	2	25	11	9	5	4	1	3	3	3	2	1	1	2	2	8	4	3	2	12	6	1	6	8	4	10	3	3	1	4	14	13	10	9	8
1	5128	1	2	7	25	11	6	3	4	1	3	3	3	1	1	2	2	1	8	4	4	3	4	5	1	12	6	3	8	5	1	2	4	15	14	14	14	15
1	5129	0	2	1	25	11	6	3	4	1	4	3	3	1	1	1	1	1	8	4	8	1	4	6	1	9	6	5	9	5	1	2	4	9	13	9	9	11
1	5130	0	5	3	1	11	8	6	6	2	4	2	2	1	1	1	1	2	2	1	7	6	12	7	1	9	13	4	13	8	1	2	6	15	14	14	14	15
1	5131	1	1	3	5	11	8	6	6	1	3	3	3	2	1	1	2	1	8	4	3	2	1	3	1	10	7	2	7	6	1	2	6	12	13	10	1	8
1	5132	0	2	4	2	11	3	9	5	1	4	3	3	1	1	1	1	1	8	4	8	1	5	1	3	11	2	7	2	2	1	2	5	7	9	5	3	5
1	5133	1	4	5	25	11	3	9	5	1	3	3	3	2	1	1	2	1	8	4	3	2	10	7	1	9	5	4	10	4	1	2	5	14	13	12	7	8
1	5134	0	2	6	25	11	9	4	1	1	4	3	3	1	1	1	1	1	2	1	8	1	3	6	1	9	8	2	10	6	1	2	1	11	13	10	8	8
1	5135	0	4	5	25	11	9	4	1	1	4	3	3	1	1	1	1	1	2	1	8	1	8	3	5	9	2	2	2	1	3	1	1	15	14	14	14	15
1	5136	0	2	5	25	11	9	4	1	1	4	3	3	1	1	1	1	1	2	1	8	1	4	6	1	10	4	3	8	5	1	2	1	10	13	9	11	9
1	5137	1	2	7	2	11	9	4	1	2	3	3	1	2	1	1	2	1	8	4	3	2	4	6	1	9	7	5	9	5	1	2	1	15	14	14	14	15
1	5138	0	3	2	19	11	6	10	1	1	4	3	3	1	1	1	1	1	3	1	8	1	6	1	4	18	2	3	2	1	3	1	1	6	8	10	13	8
1	5139	0	2	4	25	11	6	10	1	1	4	3	3	1	1	1	1	1	8	4	8	1	5	1	3	8	2	8	3	2	1	2	1	9	11	9	8	8
1	5140	0	2	6	25	11	6	10	1	1	4	3	3	1	1	1	1	1	2	1	8	1	4	3	1	9	6	6	6	4	1	2	1	9	11	10	5	4
1	5141	1	5	7	25	11	6	10	1	1	3	3	3	2	1	1	2	2	8	4	3	2	11	3	1	6	6	3	6	2	3	1	1	14	13	12	1	7
1	5142	2	5	7	15	10	4	9	7	2	2	3	3	3	1	1	3	4	8	4	9	2	11	5	1	2	10	3	11	4	3	1	7	14	13	13	2	11
1	5143	1	4	1	19	10	4	9	7	1	3	3	3	2	1	1	2	4	8	4	3	1	8	6	1	10	8	3	9	3	3	1	7	12	13	11	5	13
1	5144	1	7	2	20	10	4	9	7	1	3	3	3	2	1	1	2	1	8	4	3	2	11	3	1	10	5	4	5	1	4	1	7	8	10	7	3	6
1	5145	0	2	2	13	10	4	9	7	1	4	3	3	1	1	1	1	1	3	1	8	1	4	1	4	18	2	3	2	2	2	1	7	8	10	9	2	9
1	5146	1	3	4	25	10	8	2	6	1	3	3	3	2	1	1	2	1	8	4	3	2	6	5	1	9	7	5	8	3	2	2	6	12	13	11	8	8
