"","recid","hholdid","i1_person_id","j1_journey_num","j2_land_use_origin","j3_area_type_origin","j4_land_use_dest","j5_area_type_dest","j6_plan_region_origin","j7_plan_region_dest","j8_purpose","j9_purpose_to","j10_purpose_from","j11_main_transport","j12_shortwalk","j13_num_stages_excl_shortwalk","j14_length_excl_shortwalk","j15_mi_exc_shortwalk","j16_freq_journey","j17_day_of_week","j18_day_of_recording_period","j19_journey_duration","j20_mins","j21_time_start","j22_time_end","j24_wait_time","j25_pct_time_wait","j26_length_inc_shortwalk","j27_mi_inc_shortwalk","j28_num_stages_inc_shortwalk","j30_why_not_vehicle","j31_mean_overall_speed"
"441",4,6113,1,1,"DNA",6,"DNA",6,13,13,"Social","DNA","DNA","Private car/van/1orry",FALSE,2,"10 to 14.9 miles",10,"DNA",7,3,"DNA",0,NA,NA,14,13,"10 to 14.9 miles",10,1,8,9
"442",4,6113,1,2,"DNA",6,"DNA",6,13,13,"Social","DNA","DNA","Private car/van/1orry",FALSE,2,"10 to 14.9 miles",10,"DNA",7,3,"DNA",0,NA,NA,14,13,"10 to 14.9 miles",10,1,8,9
"443",4,6113,1,1,"DNA",6,"DNA",6,13,13,"Shopping","DNA","DNA","Other stage bus",FALSE,2,"1 to 1.9 miles",1,"DNA",2,5,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"444",4,6113,1,2,"DNA",6,"DNA",6,13,13,"Shopping","DNA","DNA","Other stage bus",FALSE,2,"1 to 1.9 miles",1,"DNA",2,5,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"445",4,6113,1,1,"DNA",6,"DNA",6,13,13,"Shopping","DNA","DNA","Other stage bus",FALSE,2,"Under 1 mile",0.5,"DNA",3,6,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
"446",4,6113,1,2,"DNA",6,"DNA",6,13,13,"Shopping","DNA","DNA","Other stage bus",FALSE,2,"Under 1 mile",0.5,"DNA",3,6,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
"447",4,6113,1,1,"Home base",4,"Retai1 trade",2,6,6,"Shopping","Shopping","Home","Other stage bus",FALSE,2,"Under 1 mile",0.5,"2-4 times a week",4,7,"15 to 29 mins",15,"1030 - 1059","1030 - 1059",1,1,"Under 1 mile",0.6,2,8,1
"448",4,6113,1,2,"Retai1 trade",2,"Home base",4,6,6,"Shopping","Home","Shopping","Walk",TRUE,1,"DNA",0,"2-4 times a week",4,7,"15 to 29 mins",15,"1100 - 1129","1100 - 1129",1,1,"Under 1 mile",0.5,1,8,1
"449",4,6138,1,1,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Private car/van/1orry",FALSE,2,"Under 1 mile",0.5,"DNA",4,1,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
"450",4,6138,1,1,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Private car/van/1orry",FALSE,2,"Under 1 mile",0.5,"DNA",5,2,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
